country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,Development_Index,Trade_Balance,Health_Impact_Ratio,Segment
Turkey,3.0007198150650303,20.4,6.74,25.5,9.798182590890704,2.080690761080268,78.2,2.15,9.278092474027002,32.417646784796396,-5.100000000000001,2.246127734472915,Emerging Economy
Turkmenistan,4.143134726391533,76.3,2.5,44.5,9.204422898212146,1.1969481893889715,67.9,2.83,8.398634855292102,20.63728635442498,31.799999999999997,0.6034078457731876,Emerging Economy
Uganda,4.406719247264253,17.1,9.01,28.6,7.340186835320115,2.451005098112319,56.8,6.15,6.39024066706535,16.005201045238277,-11.5,2.044604953127777,High Risk Country
Ukraine,2.5416019934645457,47.1,7.72,51.1,8.964567702601611,2.667228206581955,70.4,1.44,7.9966538754626075,34.37250277687228,-4.0,3.0374543377960608,Other
United Arab Emirates,2.2617630984737906,77.7,3.66,63.6,10.858393044780485,2.6026896854443837,76.5,1.87,10.408224678961561,43.22584349780652,14.100000000000001,1.6182066116781737,Other
United Kingdom,1.8245492920510458,28.2,9.64,30.8,10.49684202174171,0.9439058989071285,80.3,1.92,10.408224678961561,55.46852975779831,-2.6000000000000014,5.2834966103674335,Developed Nation
United States,2.1162555148025524,12.4,17.9,15.8,10.807725945886109,0.7975071958841881,78.7,1.93,10.408224678961561,47.21355711820549,-3.4000000000000004,8.45833590263323,Developed Nation
Uruguay,2.451005098112319,26.3,8.35,25.4,9.746892220313054,1.776645831418007,76.4,2.08,9.38437770918244,38.976365248309946,0.9000000000000021,3.406765659700539,Emerging Economy
Uzbekistan,3.6189933266497696,31.7,5.81,28.5,8.352554369474591,2.8622008809294686,68.8,2.34,7.2305631534092925,23.316737530710046,3.1999999999999993,1.6054188210892675,High Inflation Risk
Vanuatu,3.407841924380824,46.6,5.25,52.7,7.989899374942939,1.2864740258376797,63.0,3.5,7.9966538754626075,23.177880606876077,-6.100000000000001,1.5405644148103732,Other
Venezuela,2.89591193827178,28.5,4.91,17.6,9.711176264112805,3.4339872044851463,75.4,2.47,9.510519035757246,32.6742308871237,10.899999999999999,1.6954935456118136,Emerging Economy
Vietnam,3.190476350346503,72.0,6.84,80.2,8.409830673087738,2.5726122302071057,73.1,1.95,7.1785454837637,27.797847850280853,-8.200000000000003,2.143880489588064,Low GDP Trap
Yemen,4.048300623720694,30.0,5.18,34.4,8.407601514786142,3.202746442938317,67.5,4.67,7.1785454837637,20.52370975409119,-4.399999999999999,1.2795492433660198,High Inflation Risk
Zambia,4.432006566978902,37.0,5.89,30.9,8.0959035329611,2.70805020110221,52.0,5.4,7.2868764117507,15.203673308328057,6.100000000000001,1.3289691499746457,High Risk Country
